Order_ID,Date,Product,Category,Quantity,Region,Unit_Price,Revenue
ORD-0033,10/28/2025,Notebook,Stationery,9,West,7.21,64.89
ORD-0034,8/12/2025,Monitor,Electronics,10,West,227.99,2279.9
ORD-0035,11/14/2025,Webcam,Electronics,8,North,65.34,522.72
ORD-0036,12/15/2025,USB Cable,Accessories,6,West,12.37,74.22
ORD-0037,4/25/2025,Desk,Furniture,8,West,263.6,2108.8
ORD-0038,7/5/2025,Laptop,Electronics,5,West,868.81,4344.05
ORD-0039,11/19/2025,Backpack,Stationery,8,South,32.04,256.32
ORD-0040,2/25/2025,Backpack,Stationery,10,East,33.88,338.8
ORD-0041,2/9/2025,Desk Lamp,Furniture,4,South,32.2,128.8
ORD-0042,12/20/2025,Notebook,Stationery,10,East,7.54,75.4
ORD-0043,2/9/2025,USB Cable,Accessories,8,North,11.66,93.28
ORD-0044,12/13/2025,USB Cable,Accessories,10,West,10.96,109.6
ORD-0045,8/25/2025,Desk Lamp,Furniture,2,East,31.58,63.16
ORD-0046,10/16/2025,Tablet,Electronics,5,South,412.3,2061.5
ORD-0047,9/19/2025,Tablet,Electronics,9,West,441.78,3976.02
ORD-0048,8/4/2025,Desk Lamp,Furniture,4,North,32.42,129.68
ORD-0049,5/27/2025,Tablet,Electronics,6,East,397.55,2385.3
ORD-0050,12/2/2025,Headphones,Electronics,1,East,84.92,84.92
ORD-0051,6/17/2025,USB Cable,Accessories,9,East,10.94,98.46
ORD-0052,4/2/2025,Printer,Electronics,1,West,194.36,194.36
ORD-0053,12/19/2025,Keyboard,Electronics,5,South,46.36,231.8
ORD-0054,2/28/2025,Desk,Furniture,4,South,257.96,1031.84
ORD-0055,2/28/2025,Headphones,Electronics,3,East,72,216
ORD-0056,10/31/2025,Mouse,Electronics,6,North,23.35,140.1
ORD-0057,6/18/2025,Headphones,Electronics,2,North,78.24,156.48
ORD-0058,9/26/2025,Printer,Electronics,3,South,175.66,526.98
ORD-0059,12/29/2025,Mouse,Electronics,5,North,23.63,118.15
ORD-0060,2/14/2025,Desk,Furniture,9,South,234.32,2108.88
ORD-0061,12/11/2025,Printer,Electronics,2,East,166.64,333.28
ORD-0062,6/30/2025,Smartphone,Electronics,10,South,638.66,6386.6
ORD-0063,6/19/2025,Keyboard,Electronics,8,South,47.72,381.76
ORD-0064,12/22/2025,Desk,Furniture,2,East,239,478
ORD-0065,7/10/2025,USB Cable,Accessories,5,North,10.84,54.2
ORD-0066,6/4/2025,Tablet,Electronics,7,South,413.4,2893.8
ORD-0067,7/7/2025,Smartphone,Electronics,8,South,588.53,4708.24
ORD-0068,1/7/2025,Notebook,Stationery,1,East,8.75,8.75
ORD-0069,5/13/2025,Desk,Furniture,6,North,222.12,1332.72
ORD-0070,8/23/2025,Notebook,Stationery,1,South,8.33,8.33
ORD-0071,2/14/2025,Mouse,Electronics,2,East,27.36,54.72
ORD-0072,11/10/2025,Smartphone,Electronics,1,South,692.39,692.39
ORD-0073,9/6/2025,Keyboard,Electronics,5,West,46.79,233.95
ORD-0074,1/31/2025,USB Cable,Accessories,10,East,12.81,128.1
ORD-0075,1/23/2025,Desk Lamp,Furniture,9,North,32.89,296.01
ORD-0076,6/9/2025,USB Cable,Accessories,6,North,12.29,73.74
ORD-0077,12/29/2025,Printer,Electronics,1,North,182.13,182.13
ORD-0078,6/7/2025,USB Cable,Accessories,1,North,12.31,12.31
ORD-0079,2/8/2025,Webcam,Electronics,2,South,70.46,140.92
ORD-0080,3/23/2025,Office Chair,Furniture,9,South,164.32,1478.88
ORD-0081,12/22/2025,Desk Lamp,Furniture,3,North,29.7,89.1
ORD-0082,9/15/2025,Headphones,Electronics,1,North,75.5,75.5
ORD-0083,7/25/2025,Tablet,Electronics,5,North,388.1,1940.5
ORD-0084,3/18/2025,Laptop,Electronics,7,South,867.98,6075.86
ORD-0085,1/12/2025,Keyboard,Electronics,6,North,42.87,257.22
ORD-0086,10/22/2025,Smartphone,Electronics,1,North,591,591
ORD-0087,8/12/2025,Office Chair,Furniture,5,West,162.15,810.75
ORD-0088,1/13/2025,Keyboard,Electronics,5,West,43.05,215.25
ORD-0089,2/15/2025,Smartphone,Electronics,6,North,692.19,4153.14
ORD-0090,6/4/2025,Tablet,Electronics,3,East,384.24,1152.72
ORD-0091,4/23/2025,Monitor,Electronics,5,North,207.96,1039.8
ORD-0092,8/21/2025,Monitor,Electronics,7,West,230.13,1610.91
ORD-0093,1/17/2025,Notebook,Stationery,5,East,8.16,40.8
ORD-0094,12/26/2025,Keyboard,Electronics,5,East,41.08,205.4
ORD-0095,8/11/2025,Monitor,Electronics,5,North,236.6,1183
ORD-0096,12/20/2025,Webcam,Electronics,10,West,75.28,752.8
ORD-0097,7/7/2025,Desk Lamp,Furniture,10,West,28.98,289.8
ORD-0098,12/10/2025,Smartphone,Electronics,3,East,629.25,1887.75
ORD-0099,12/31/2025,Notebook,Stationery,1,North,8.78,8.78
ORD-0100,6/12/2025,USB Cable,Accessories,5,South,12.3,61.5
ORD-0101,11/22/2025,Smartphone,Electronics,9,South,654.07,5886.63
ORD-0102,3/15/2025,Notebook,Stationery,1,West,8.54,8.54
ORD-0103,8/21/2025,Tablet,Electronics,3,South,401.96,1205.88
ORD-0104,8/12/2025,Keyboard,Electronics,4,West,44.36,177.44
ORD-0105,11/15/2025,Tablet,Electronics,1,West,400.49,400.49
ORD-0106,3/1/2025,Desk Lamp,Furniture,1,West,31.73,31.73
ORD-0107,12/1/2025,Desk Lamp,Furniture,8,South,30.44,243.52
ORD-0108,8/10/2025,Office Chair,Furniture,2,West,165.08,330.16
ORD-0109,2/6/2025,Tablet,Electronics,8,East,399.19,3193.52
ORD-0110,10/5/2025,Printer,Electronics,7,North,169.93,1189.51
ORD-0111,7/15/2025,USB Cable,Accessories,10,North,11.97,119.7
ORD-0112,12/18/2025,Desk,Furniture,10,West,251.4,2514
ORD-0113,8/30/2025,Tablet,Electronics,2,North,422.12,844.24
ORD-0114,11/20/2025,Office Chair,Furniture,6,South,145.04,870.24
ORD-0115,8/7/2025,Mouse,Electronics,6,South,26.84,161.04
ORD-0116,7/11/2025,Webcam,Electronics,3,North,63.91,191.73
ORD-0117,1/17/2025,Smartphone,Electronics,2,South,709.26,1418.52
ORD-0118,1/12/2025,Desk Lamp,Furniture,1,North,27.15,27.15
ORD-0119,7/12/2025,Mouse,Electronics,6,North,25.97,155.82
ORD-0120,1/22/2025,Office Chair,Furniture,5,North,146.63,733.15
ORD-0121,4/30/2025,Notebook,Stationery,9,West,8.66,77.94
ORD-0122,7/29/2025,Desk,Furniture,1,North,238.29,238.29
ORD-0123,11/2/2025,USB Cable,Accessories,7,West,11.13,77.91
ORD-0124,9/27/2025,USB Cable,Accessories,5,North,11.62,58.1
ORD-0125,7/11/2025,USB Cable,Accessories,5,North,11.2,56
ORD-0126,6/24/2025,Webcam,Electronics,2,North,65.39,130.78
ORD-0127,10/12/2025,Desk,Furniture,3,South,261.51,784.53
ORD-0128,7/23/2025,Webcam,Electronics,7,West,69.23,484.61
ORD-0129,6/13/2025,Desk Lamp,Furniture,6,West,31.73,190.38
ORD-0130,9/8/2025,Webcam,Electronics,2,North,71.95,143.9
ORD-0131,8/15/2025,Laptop,Electronics,6,North,983.52,5901.12
ORD-0132,1/7/2025,Desk,Furniture,2,South,222.32,444.64
ORD-0133,1/29/2025,Printer,Electronics,2,South,170.43,340.86
ORD-0134,2/2/2025,Desk,Furniture,2,South,253.76,507.52
ORD-0135,5/14/2025,Office Chair,Furniture,3,West,175.06,525.18
ORD-0136,3/20/2025,Laptop,Electronics,2,West,904.91,1809.82
ORD-0137,2/27/2025,USB Cable,Accessories,4,West,11.45,45.8
ORD-0138,1/26/2025,Office Chair,Furniture,9,North,159.13,1432.17
ORD-0139,8/14/2025,Office Chair,Furniture,6,West,175.48,1052.88
ORD-0140,10/12/2025,Desk Lamp,Furniture,1,East,28.61,28.61
ORD-0141,1/4/2025,Backpack,Stationery,8,East,34.35,274.8
ORD-0142,4/9/2025,Headphones,Electronics,7,South,86.26,603.82
ORD-0143,2/8/2025,Laptop,Electronics,10,West,855.55,8555.5
ORD-0144,9/28/2025,Office Chair,Furniture,3,East,145.27,435.81
ORD-0145,10/12/2025,Headphones,Electronics,1,South,81.67,81.67
ORD-0146,6/6/2025,Headphones,Electronics,5,West,86.52,432.6
ORD-0147,3/16/2025,Laptop,Electronics,4,North,900.38,3601.52
ORD-0148,10/15/2025,Backpack,Stationery,10,East,34.79,347.9
ORD-0149,5/10/2025,Mouse,Electronics,8,North,24.75,198
ORD-0150,6/24/2025,Notebook,Stationery,1,West,7.96,7.96
ORD-0151,3/25/2025,Printer,Electronics,10,East,184.41,1844.1
ORD-0152,1/22/2025,Notebook,Stationery,1,West,7.95,7.95
ORD-0153,1/27/2025,Desk,Furniture,4,North,237.48,949.92
ORD-0154,7/14/2025,USB Cable,Accessories,8,East,11.94,95.52
ORD-0155,12/3/2025,Printer,Electronics,5,North,183.27,916.35
ORD-0156,8/24/2025,Desk,Furniture,2,West,241.78,483.56
ORD-0157,4/2/2025,Office Chair,Furniture,6,West,171.33,1027.98
ORD-0158,1/21/2025,USB Cable,Accessories,5,North,10.92,54.6
ORD-0159,10/30/2025,Smartphone,Electronics,2,East,693.33,1386.66
ORD-0160,12/23/2025,Laptop,Electronics,3,North,1015.35,3046.05
ORD-0161,3/25/2025,Printer,Electronics,9,West,172.26,1550.34
ORD-0162,9/19/2025,Printer,Electronics,7,North,178.66,1250.62
ORD-0163,5/27/2025,Tablet,Electronics,7,West,414.84,2903.88
ORD-0164,9/14/2025,Office Chair,Furniture,6,North,150.99,905.94
ORD-0165,2/27/2025,Mouse,Electronics,8,East,24.48,195.84
ORD-0166,1/15/2025,Headphones,Electronics,4,East,72.71,290.84
ORD-0167,6/11/2025,USB Cable,Accessories,8,North,11.47,91.76
ORD-0168,6/12/2025,Office Chair,Furniture,4,North,170.13,680.52
ORD-0169,11/16/2025,Monitor,Electronics,8,East,210.52,1684.16
ORD-0170,10/8/2025,Backpack,Stationery,9,West,37.23,335.07
ORD-0171,10/7/2025,Headphones,Electronics,3,East,80.51,241.53
ORD-0172,1/12/2025,Laptop,Electronics,3,West,1022.17,3066.51
ORD-0173,10/1/2025,Headphones,Electronics,2,North,81.2,162.4
ORD-0174,9/28/2025,Mouse,Electronics,10,North,22.65,226.5
ORD-0175,7/27/2025,Desk Lamp,Furniture,3,West,31.05,93.15
ORD-0176,1/27/2025,Tablet,Electronics,3,North,381.77,1145.31
ORD-0177,3/13/2025,Headphones,Electronics,5,West,79.21,396.05
ORD-0178,3/1/2025,Laptop,Electronics,5,South,1031.59,5157.95
ORD-0179,5/25/2025,Mouse,Electronics,2,East,23.33,46.66
ORD-0180,4/3/2025,Notebook,Stationery,10,South,7.82,78.2
ORD-0181,11/5/2025,Printer,Electronics,6,West,188.27,1129.62
ORD-0182,1/8/2025,Desk Lamp,Furniture,5,East,32.29,161.45
ORD-0183,3/20/2025,Tablet,Electronics,6,West,434.36,2606.16
ORD-0184,1/27/2025,Printer,Electronics,1,East,171.29,171.29
ORD-0185,6/23/2025,Backpack,Stationery,5,East,36.22,181.1
ORD-0186,2/19/2025,Desk,Furniture,9,East,230.24,2072.16
ORD-0187,7/18/2025,Desk Lamp,Furniture,10,East,31.31,313.1
ORD-0188,12/15/2025,Desk Lamp,Furniture,2,West,32.72,65.44
ORD-0189,6/30/2025,Notebook,Stationery,1,East,8.35,8.35
ORD-0190,1/24/2025,Notebook,Stationery,10,East,8.58,85.8
ORD-0191,11/12/2025,USB Cable,Accessories,9,South,10.81,97.29
ORD-0192,2/15/2025,Webcam,Electronics,10,North,73.05,730.5
ORD-0193,1/15/2025,Headphones,Electronics,9,North,85.27,767.43
ORD-0194,6/2/2025,Desk Lamp,Furniture,9,South,27.24,245.16
ORD-0195,8/10/2025,Printer,Electronics,6,South,193.38,1160.28
ORD-0196,7/25/2025,Laptop,Electronics,8,West,903.77,7230.16
ORD-0197,9/30/2025,Keyboard,Electronics,1,West,46.49,46.49
ORD-0198,8/24/2025,Webcam,Electronics,10,West,74.2,742
ORD-0199,12/6/2025,Keyboard,Electronics,4,South,46.46,185.84
ORD-0200,8/16/2025,Tablet,Electronics,1,South,385.75,385.75
ORD-0201,1/9/2025,Mouse,Electronics,8,East,25.48,203.84
ORD-0202,6/15/2025,Printer,Electronics,1,West,181.79,181.79
ORD-0203,11/15/2025,Printer,Electronics,3,West,194.41,583.23
ORD-0204,8/2/2025,Webcam,Electronics,4,West,68.66,274.64
ORD-0205,4/27/2025,Desk Lamp,Furniture,8,North,28.93,231.44
ORD-0206,12/10/2025,Backpack,Stationery,6,East,36.75,220.5
ORD-0207,3/13/2025,Webcam,Electronics,10,West,68.78,687.8
ORD-0208,3/5/2025,Keyboard,Electronics,7,West,46.31,324.17
ORD-0209,7/24/2025,Webcam,Electronics,8,West,72.05,576.4
ORD-0210,7/28/2025,Printer,Electronics,2,North,193.97,387.94
ORD-0211,3/13/2025,Backpack,Stationery,10,North,35.69,356.9
ORD-0212,10/4/2025,Headphones,Electronics,8,South,80.03,640.24
ORD-0213,10/1/2025,Monitor,Electronics,3,East,204.11,612.33
ORD-0214,11/16/2025,USB Cable,Accessories,7,South,11.08,77.56
ORD-0215,12/4/2025,Smartphone,Electronics,3,East,605.06,1815.18
ORD-0216,4/5/2025,Notebook,Stationery,7,North,7.47,52.29
ORD-0217,6/15/2025,Webcam,Electronics,2,West,71.93,143.86
ORD-0218,2/1/2025,Tablet,Electronics,10,South,440.24,4402.4
ORD-0219,1/11/2025,Desk,Furniture,6,West,241.44,1448.64
ORD-0220,10/28/2025,Mouse,Electronics,3,South,26.65,79.95
ORD-0221,8/5/2025,Monitor,Electronics,3,North,241.62,724.86
ORD-0222,10/16/2025,USB Cable,Accessories,9,North,12.77,114.93
ORD-0223,4/12/2025,USB Cable,Accessories,7,North,12.47,87.29
ORD-0224,9/24/2025,USB Cable,Accessories,5,South,12.08,60.4
ORD-0225,8/2/2025,USB Cable,Accessories,10,East,11.88,118.8
ORD-0226,6/28/2025,Keyboard,Electronics,7,South,41.26,288.82
ORD-0227,3/29/2025,Tablet,Electronics,9,East,411.55,3703.95
ORD-0228,2/10/2025,Tablet,Electronics,1,South,454.45,454.45
ORD-0229,3/17/2025,Backpack,Stationery,7,South,37.16,260.12
ORD-0230,2/15/2025,Notebook,Stationery,6,North,7.55,45.3
ORD-0231,6/9/2025,Printer,Electronics,10,West,178.8,1788
ORD-0232,3/21/2025,USB Cable,Accessories,9,West,12.76,114.84
ORD-0233,11/6/2025,Desk,Furniture,1,East,219.23,219.23
ORD-0234,3/27/2025,Printer,Electronics,4,West,175.95,703.8
ORD-0235,4/2/2025,Tablet,Electronics,9,South,449.55,4045.95
ORD-0236,5/28/2025,Laptop,Electronics,4,South,931.74,3726.96
ORD-0237,6/10/2025,Laptop,Electronics,10,North,869.75,8697.5
ORD-0238,7/21/2025,Desk,Furniture,3,North,242.04,726.12
ORD-0239,8/30/2025,Backpack,Stationery,9,West,37.53,337.77
ORD-0240,12/19/2025,Tablet,Electronics,2,East,427.58,855.16
ORD-0241,1/2/2025,Desk,Furniture,4,West,226.86,907.44
ORD-0242,8/13/2025,Keyboard,Electronics,6,West,43.96,263.76
ORD-0243,10/16/2025,Webcam,Electronics,2,West,69.3,138.6
ORD-0244,8/21/2025,Desk,Furniture,8,West,243.8,1950.4
ORD-0245,3/18/2025,Headphones,Electronics,8,South,84.15,673.2
ORD-0246,4/26/2025,Printer,Electronics,1,East,165.56,165.56
ORD-0247,6/3/2025,Monitor,Electronics,3,South,237.14,711.42
ORD-0248,4/13/2025,Office Chair,Furniture,10,East,144.39,1443.9
ORD-0249,7/13/2025,Backpack,Stationery,9,North,34.09,306.81
ORD-0250,6/15/2025,Desk,Furniture,5,West,217.32,1086.6
ORD-0251,12/25/2025,Tablet,Electronics,6,South,411.01,2466.06
ORD-0252,3/31/2025,Mouse,Electronics,4,East,25.13,100.52
ORD-0253,6/23/2025,Laptop,Electronics,10,North,952.22,9522.2
ORD-0254,5/2/2025,Headphones,Electronics,2,North,74.65,149.3
ORD-0255,5/23/2025,Notebook,Stationery,8,West,8.23,65.84
ORD-0256,4/16/2025,USB Cable,Accessories,6,East,10.91,65.46
ORD-0257,11/1/2025,Office Chair,Furniture,5,South,168.38,841.9
ORD-0258,12/26/2025,Desk Lamp,Furniture,9,West,32.68,294.12
ORD-0259,11/13/2025,Backpack,Stationery,1,South,33.88,33.88
ORD-0260,5/3/2025,Monitor,Electronics,5,North,220.76,1103.8
ORD-0261,1/9/2025,Office Chair,Furniture,6,South,156.13,936.78
ORD-0262,9/19/2025,Desk,Furniture,5,South,216.32,1081.6
ORD-0263,3/14/2025,Keyboard,Electronics,6,West,43.97,263.82
ORD-0264,12/25/2025,Laptop,Electronics,6,South,1005.43,6032.58
ORD-0265,8/11/2025,Tablet,Electronics,7,,428.06,2996.42
ORD-0266,2/10/2025,Laptop,Electronics,4,North,874.24,3496.96
ORD-0267,7/23/2025,Notebook,Stationery,8,West,8.56,68.48
ORD-0268,9/21/2025,Keyboard,Electronics,7,West,45.28,316.96
ORD-0269,11/24/2025,USB Cable,Accessories,9,East,12.82,115.38
ORD-0270,6/27/2025,Tablet,Electronics,7,South,426.74,2987.18
ORD-0271,12/14/2025,Printer,Electronics,3,North,182.15,546.45
ORD-0272,11/14/2025,Smartphone,Electronics,3,West,598.68,1796.04
ORD-0273,3/25/2025,Headphones,Electronics,8,North,74.68,597.44
ORD-0274,11/14/2025,Laptop,Electronics,5,East,1039.68,5198.4
ORD-0275,4/21/2025,Mouse,Electronics,4,South,23.64,94.56
ORD-0276,9/8/2025,Laptop,Electronics,8,West,1040.72,8325.76
ORD-0277,1/7/2025,Office Chair,Furniture,6,South,161.02,966.12
ORD-0278,3/25/2025,Laptop,Electronics,2,East,880.8,1761.6
ORD-0279,7/27/2025,Backpack,Stationery,4,East,32.2,128.8
ORD-0280,11/10/2025,Laptop,Electronics,4,North,894.68,3578.72
ORD-0281,1/22/2025,Smartphone,Electronics,6,West,705.33,4231.98
ORD-0282,1/3/2025,Smartphone,Electronics,6,North,638.84,3833.04
ORD-0283,5/7/2025,USB Cable,Accessories,1,East,11.75,11.75
ORD-0284,10/24/2025,Monitor,Electronics,8,South,211.78,1694.24
ORD-0285,7/7/2025,Printer,Electronics,6,North,167.29,1003.74
ORD-0286,12/28/2025,Mouse,Electronics,3,North,24.94,74.82
ORD-0287,1/14/2025,Laptop,Electronics,9,South,879.71,7917.39
ORD-0288,1/12/2025,Laptop,Electronics,2,North,1013.74,2027.48
ORD-0289,3/28/2025,Headphones,Electronics,8,South,77.93,623.44
ORD-0290,1/12/2025,Tablet,Electronics,10,West,409.48,4094.8
ORD-0291,1/25/2025,Smartphone,Electronics,3,South,646.62,1939.86
ORD-0292,10/28/2025,Mouse,Electronics,5,West,24.72,123.6
ORD-0293,8/31/2025,USB Cable,Accessories,6,South,13.19,79.14
ORD-0294,5/2/2025,Notebook,Stationery,10,East,8.07,80.7
ORD-0295,5/27/2025,Monitor,Electronics,6,East,201.88,1211.28
ORD-0296,2/24/2025,Printer,Electronics,4,West,183.85,735.4
ORD-0297,8/26/2025,Keyboard,Electronics,3,West,41.86,125.58
ORD-0298,12/22/2025,Printer,Electronics,4,East,163.11,652.44
ORD-0299,6/22/2025,Backpack,Stationery,1,West,38.3,38.3
ORD-0300,8/9/2025,Office Chair,Furniture,4,South,168.75,675
ORD-0301,4/29/2025,Backpack,Stationery,1,South,38.36,38.36
ORD-0302,11/5/2025,Laptop,Electronics,1,East,945.8,945.8
ORD-0303,7/2/2025,Desk Lamp,Furniture,10,North,30.19,301.9
ORD-0304,10/15/2025,Monitor,Electronics,6,South,205.41,1232.46
ORD-0305,11/3/2025,Office Chair,Furniture,5,West,151.9,759.5
ORD-0306,10/27/2025,Mouse,Electronics,4,North,26.69,106.76
ORD-0307,3/23/2025,Keyboard,Electronics,3,North,43.71,131.13
ORD-0308,7/30/2025,Smartphone,Electronics,1,South,692.49,692.49
ORD-0309,5/30/2025,Monitor,Electronics,6,South,229.2,1375.2
ORD-0310,2/6/2025,Monitor,Electronics,2,North,205.8,411.6
ORD-0311,12/18/2025,Backpack,Stationery,8,North,35.05,280.4
ORD-0312,11/8/2025,Desk Lamp,Furniture,10,East,31.06,310.6
ORD-0313,12/27/2025,Laptop,Electronics,5,West,899.66,4498.3
ORD-0314,2/28/2025,Desk,Furniture,7,East,255.87,1791.09
ORD-0315,5/11/2025,USB Cable,Accessories,10,South,12.11,121.1
ORD-0316,7/21/2025,Backpack,Stationery,2,East,32.66,65.32
ORD-0317,8/31/2025,Monitor,Electronics,8,East,223.65,1789.2
ORD-0318,2/4/2025,Webcam,Electronics,2,East,77,154
ORD-0319,4/3/2025,Headphones,Electronics,4,East,74.41,297.64
ORD-0320,7/26/2025,Keyboard,Electronics,1,West,47.85,47.85
ORD-0321,12/19/2025,USB Cable,Accessories,5,West,11.3,56.5
ORD-0322,11/28/2025,Backpack,Stationery,9,North,36.98,332.82
ORD-0323,11/1/2025,Keyboard,Electronics,1,South,47.11,47.11
ORD-0324,12/16/2025,Headphones,Electronics,9,East,76.81,691.29
ORD-0325,8/1/2025,Notebook,Stationery,8,North,7.72,61.76
ORD-0326,6/8/2025,Headphones,Electronics,6,North,84.68,508.08
ORD-0327,1/24/2025,Desk Lamp,Furniture,7,North,29.77,208.39
ORD-0328,10/20/2025,Headphones,Electronics,3,West,83.69,251.07
ORD-0329,1/4/2025,Keyboard,Electronics,1,East,41.83,41.83
ORD-0330,8/8/2025,Printer,Electronics,5,East,192.69,963.45
ORD-0331,12/30/2025,Keyboard,Electronics,2,South,46.9,93.8
ORD-0332,1/20/2025,Desk,Furniture,5,East,259.53,1297.65
ORD-0333,6/1/2025,Laptop,Electronics,8,East,880.15,7041.2
ORD-0334,2/19/2025,Office Chair,Furniture,9,North,162.98,1466.82
ORD-0335,6/26/2025,Printer,Electronics,2,South,183.57,367.14
ORD-0336,4/6/2025,Smartphone,Electronics,3,East,630.95,1892.85
ORD-0337,4/15/2025,Office Chair,Furniture,3,West,158.67,476.01
ORD-0338,9/7/2025,Laptop,Electronics,1,East,862.22,862.22
ORD-0339,4/27/2025,Backpack,Stationery,8,North,36.72,293.76
ORD-0340,12/20/2025,USB Cable,Accessories,6,West,12.12,72.72
ORD-0341,8/16/2025,Desk,Furniture,8,North,218.77,1750.16
ORD-0342,3/7/2025,Desk,Furniture,9,East,248.68,2238.12
ORD-0343,12/1/2025,Smartphone,Electronics,5,West,645.68,3228.4
ORD-0344,9/19/2025,Printer,Electronics,3,South,163.24,489.72
ORD-0345,10/22/2025,Desk Lamp,Furniture,5,South,32.82,164.1
ORD-0346,8/31/2025,Tablet,Electronics,5,West,457.73,2288.65
ORD-0347,7/5/2025,Notebook,Stationery,5,West,8.02,40.1
ORD-0348,9/3/2025,Headphones,Electronics,3,North,73.5,220.5
ORD-0349,5/5/2025,Printer,Electronics,10,West,189.17,1891.7
ORD-0350,9/25/2025,USB Cable,Accessories,4,North,11.98,47.92
ORD-0351,5/11/2025,Notebook,Stationery,9,East,7.68,69.12
ORD-0352,8/25/2025,Desk,Furniture,10,North,239.59,2395.9
ORD-0353,1/18/2025,Keyboard,Electronics,9,West,45.2,406.8
ORD-0354,2/9/2025,USB Cable,Accessories,2,West,12.15,24.3
ORD-0355,1/21/2025,Laptop,Electronics,8,East,938.83,7510.64
ORD-0356,8/13/2025,Smartphone,Electronics,8,West,663.75,5310
ORD-0357,12/21/2025,Laptop,Electronics,7,West,1029.56,7206.92
ORD-0358,10/9/2025,Tablet,Electronics,8,South,408.43,3267.44
ORD-0359,1/8/2025,USB Cable,Accessories,3,South,12.54,37.62
ORD-0360,4/10/2025,Mouse,Electronics,6,East,26.97,161.82
ORD-0361,8/28/2025,Mouse,Electronics,1,North,24.78,24.78
ORD-0362,3/28/2025,Backpack,Stationery,7,South,34.6,242.2
ORD-0363,10/25/2025,Printer,Electronics,1,North,183.68,183.68
ORD-0364,1/14/2025,Desk,Furniture,9,West,244.39,2199.51
ORD-0365,11/30/2025,Desk,Furniture,1,South,254.72,254.72
ORD-0366,1/2/2025,Headphones,Electronics,1,East,79.62,79.62
ORD-0367,10/20/2025,Headphones,Electronics,7,East,87.94,615.58
ORD-0368,11/21/2025,Headphones,Electronics,2,East,72.95,145.9
ORD-0369,2/10/2025,Keyboard,Electronics,5,South,40.53,202.65
ORD-0370,11/14/2025,Office Chair,Furniture,8,North,164.49,1315.92
ORD-0371,11/12/2025,Monitor,Electronics,8,West,211.13,1689.04
ORD-0372,4/21/2025,Office Chair,Furniture,3,North,151.69,455.07
ORD-0373,1/14/2025,Laptop,Electronics,7,North,914.26,6399.82
ORD-0374,8/19/2025,Office Chair,Furniture,3,West,152.19,456.57
ORD-0375,3/25/2025,Keyboard,Electronics,6,West,40.78,244.68
ORD-0376,5/10/2025,Backpack,Stationery,6,South,38.3,229.8
ORD-0377,8/19/2025,Laptop,Electronics,3,South,896.94,2690.82
ORD-0378,11/22/2025,Office Chair,Furniture,7,South,167.49,1172.43
ORD-0379,5/25/2025,Keyboard,Electronics,3,South,47.36,142.08
ORD-0380,12/11/2025,Monitor,Electronics,8,South,238.89,1911.12
ORD-0381,1/28/2025,Office Chair,Furniture,10,West,144.98,1449.8
